input_curie	preferred_identifier	preferred_label	confidence	method	mapping_relation	combo_concept_id	combo_label	source_identifier	evidence
COMBO:1.3.1.2.1.1	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.2.1.1	Visual_Art_Therapy	COMBO:1.3.1.2.1.1	variant_parent:narrow_to_parent:art therapy
COMBO:1.3.1.2.1.1.3	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.2.1.1.3	Clay_Art_Therapy	COMBO:1.3.1.2.1.1.3	variant_parent:narrow_to_parent:art therapy
COMBO:1.3.1.2.1.2	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.2.1.2	Creative_Art_Therapy	COMBO:1.3.1.2.1.2	variant_parent:narrow_to_parent:art therapy
COMBO:1.3.1.2.1.3	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.2.1.3	Phenomenological_Art_Therapy	COMBO:1.3.1.2.1.3	variant_parent:narrow_to_parent:art therapy
COMBO:1.3.1.2.1.4	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.2.1.4	Mindfulness_Based_Art_Therapy	COMBO:1.3.1.2.1.4	variant_parent:narrow_to_parent:art therapy
COMBO:1.3.1.2.1.5	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.2.1.5	Psychodynamic_Group_Art_Therapy	COMBO:1.3.1.2.1.5	variant_parent:narrow_to_parent:art therapy
COMBO:1.3.1.2.1.6	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.2.1.6	Anthroposophic_Art_Therapy	COMBO:1.3.1.2.1.6	variant_parent:narrow_to_parent:art therapy
COMBO:1.3.1.2.3.2	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.2.3.2	Orff_Based_Music_Therapy	COMBO:1.3.1.2.3.2	variant_parent:narrow_to_parent:music therapy
COMBO:1.3.1.2.3.9	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.2.3.9	Active_Music_Therapy	COMBO:1.3.1.2.3.9	variant_parent:narrow_to_parent:music therapy
COMBO:1.3.1.2.3.9.1	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.2.3.9.1	Interactive_Music_Therapy	COMBO:1.3.1.2.3.9.1	variant_parent:narrow_to_parent:music therapy
COMBO:1.3.1.2.3.14	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.2.3.14	Instructional_Music_Therapy	COMBO:1.3.1.2.3.14	variant_parent:narrow_to_parent:music therapy
COMBO:1.3.1.2.3.15	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.2.3.15	Improvisational_Music_Therapy	COMBO:1.3.1.2.3.15	variant_parent:narrow_to_parent:music therapy
COMBO:1.3.1.2.3.19	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.2.3.19	Calming_Music_Therapy	COMBO:1.3.1.2.3.19	variant_parent:narrow_to_parent:music therapy
COMBO:1.3.1.2.3.20	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.2.3.20	Live_Music_Therapy	COMBO:1.3.1.2.3.20	variant_parent:narrow_to_parent:music therapy
COMBO:1.3.1.2.4.2	UMLS:C0034945	Reflexology	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.2.4.2	Lymphatic_Reflexology	COMBO:1.3.1.2.4.2	variant_parent:narrow_to_parent:reflexology
COMBO:1.3.1.2.4.3	UMLS:C0034945	Reflexology	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.2.4.3	Foot_Reflexology	COMBO:1.3.1.2.4.3	variant_parent:narrow_to_parent:reflexology
COMBO:1.3.1.2.4.4	UMLS:C0034945	Reflexology	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.2.4.4	Hand_Reflexology	COMBO:1.3.1.2.4.4	variant_parent:narrow_to_parent:reflexology
COMBO:1.3.1.2.4.5	UMLS:C0034945	Reflexology	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.2.4.5	Ear_Reflexology	COMBO:1.3.1.2.4.5	variant_parent:narrow_to_parent:reflexology
COMBO:1.3.1.3.3	UMLS:C0005491	Biofeedback	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.3.3	Heart_Rate_Variability_Biofeedback	COMBO:1.3.1.3.3	variant_parent:narrow_to_parent:biofeedback
COMBO:1.3.1.3.4	UMLS:C0005491	Biofeedback	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.3.4	Electromyography_Biofeedback	COMBO:1.3.1.3.4	variant_parent:narrow_to_parent:biofeedback
COMBO:1.3.1.3.5	UMLS:C0005491	Biofeedback	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.3.5	Electroencephalogram_Biofeedback	COMBO:1.3.1.3.5	variant_parent:narrow_to_parent:biofeedback
COMBO:1.3.1.3.6	UMLS:C0005491	Biofeedback	0.78	variant_parent_mapping	narrow_to_parent	1.3.1.3.6	Assisted_Biofeedback	COMBO:1.3.1.3.6	variant_parent:narrow_to_parent:biofeedback
COMBO:1.3.4.5.1.1	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.4.5.1.1	Visual_Art_Therapy	COMBO:1.3.4.5.1.1	variant_parent:narrow_to_parent:art therapy
COMBO:1.3.4.5.1.1.3	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.4.5.1.1.3	Clay_Art_Therapy	COMBO:1.3.4.5.1.1.3	variant_parent:narrow_to_parent:art therapy
COMBO:1.3.4.5.1.2	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.4.5.1.2	Creative_Art_Therapy	COMBO:1.3.4.5.1.2	variant_parent:narrow_to_parent:art therapy
COMBO:1.3.4.5.1.3	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.4.5.1.3	Phenomenological_Art_Therapy	COMBO:1.3.4.5.1.3	variant_parent:narrow_to_parent:art therapy
COMBO:1.3.4.5.1.4	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.4.5.1.4	Mindfulness_Based_Art_Therapy	COMBO:1.3.4.5.1.4	variant_parent:narrow_to_parent:art therapy
COMBO:1.3.4.5.1.5	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.4.5.1.5	Psychodynamic_Group_Art_Therapy	COMBO:1.3.4.5.1.5	variant_parent:narrow_to_parent:art therapy
COMBO:1.3.4.5.1.6	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.4.5.1.6	Anthroposophic_Art_Therapy	COMBO:1.3.4.5.1.6	variant_parent:narrow_to_parent:art therapy
COMBO:1.3.4.5.2.2	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.4.5.2.2	Orff_Based_Music_Therapy	COMBO:1.3.4.5.2.2	variant_parent:narrow_to_parent:music therapy
COMBO:1.3.4.5.2.9	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.4.5.2.9	Active_Music_Therapy	COMBO:1.3.4.5.2.9	variant_parent:narrow_to_parent:music therapy
COMBO:1.3.4.5.2.9.1	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.4.5.2.9.1	Interactive_Music_Therapy	COMBO:1.3.4.5.2.9.1	variant_parent:narrow_to_parent:music therapy
COMBO:1.3.4.5.2.14	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.4.5.2.14	Instructional_Music_Therapy	COMBO:1.3.4.5.2.14	variant_parent:narrow_to_parent:music therapy
COMBO:1.3.4.5.2.15	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.4.5.2.15	Improvisational_Music_Therapy	COMBO:1.3.4.5.2.15	variant_parent:narrow_to_parent:music therapy
COMBO:1.3.4.5.2.19	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.4.5.2.19	Calming_Music_Therapy	COMBO:1.3.4.5.2.19	variant_parent:narrow_to_parent:music therapy
COMBO:1.3.4.5.2.20	UMLS:C0026868	Music_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.4.5.2.20	Live_Music_Therapy	COMBO:1.3.4.5.2.20	variant_parent:narrow_to_parent:music therapy
COMBO:1.3.7.4.2.2	UMLS:C0003827	Art_Therapy	0.78	variant_parent_mapping	narrow_to_parent	1.3.7.4.2.2	Mindfulness_Based_Art_Therapy	COMBO:1.3.7.4.2.2	variant_parent:narrow_to_parent:art therapy
