umls_key	original_label	prefix	local_id	id_label
UMLS:C0084579	SNF 8702	MESH	C066684	SNF 8702
UMLS:C1418905	PRKAG2	MESH	C526223	PRKAG2 protein, human
UMLS:C4719774	Doxylamine Succinate Tablets	RXCUI	2645899	
UMLS:C0537031	Cyclin G1	MESH	D056766	Cyclin G1
UMLS:C1965461	Vitis extract	RXCUI	730907	
UMLS:C0763914	plasmalogen-selective phospholipase A2	MESH	C117522	plasmalogen-selective phospholipase A2
UMLS:C0661921	cyclohexyl cysteinate	MESH	C083789	cyclohexyl cysteinate
UMLS:C0052396	aromatic amine dehydrogenase	MESH	C037193	aromatic amine dehydrogenase
UMLS:C1825579	IGFL1	MESH	C000628075	IGFL1 protein, human
UMLS:C2240178	WDR91	MESH	C000609633	WDR91 protein, human
UMLS:C0298669	O-carbethoxy-N-hydroxysaccharin	MESH	C094122	O-carbethoxy-N-hydroxysaccharin
UMLS:C1416592	KCNK10	MESH	C503438	KCNK10 protein, human
UMLS:C1416496	ITGB1	MESH	C000706311	Itgb1 protein, human
UMLS:C0062259	glycated hemoglobin C	MESH	C024240	glycated hemoglobin C
UMLS:C0981656	prednisolone 10 MG/ML Ophthalmic Solution	RXCUI	314165	
UMLS:C0964964	Permacol	MESH	C422414	Permacol
UMLS:C1826967	UBA2	MESH	C470301	UBA2 protein, human
UMLS:C0632522	nitrohumic acid	MESH	C054525	nitrohumic acid
UMLS:C0055587	chondro-6-sulfatase	MESH	C046341	chondro-6-sulfatase
UMLS:C0064756	lentinan sulfate	MESH	C059822	lentinan sulfate
UMLS:C0064756	lentinan sulfate	CAS	114285-68-6	
UMLS:C1872154	phosphinine	MESH	C519090	phosphinine
UMLS:C1377870	PLCG2	MESH	C000708928	PLCG2 protein, human
UMLS:C0908815	NRA 0160	MESH	C121249	NRA 0160
UMLS:C0002501	amikacin sulfate	RXCUI	643	
UMLS:C0907771	BERP	MESH	C120405	BERP
UMLS:C3658295	lactic acid, D-	RXCUI	1742994	
UMLS:C0081675	atrial natriuretic factor prohormone (103-126)	MESH	C062525	atrial natriuretic factor prohormone (103-126)
UMLS:C0391117	7-xylosyl-10-deacetyltaxol	MESH	C100478	7-xylosyl-10-deacetyltaxol
UMLS:C0286762	caseinomacropeptide	MESH	C065989	caseinomacropeptide
UMLS:C1741914	CXCR3	MESH	C515187	CXCR3 protein, human
UMLS:C1564903	Frizzled Receptors	MESH	D051157	Frizzled Receptors
UMLS:C0388585	influenza virus membrane protein (58-66)	MESH	C098952	influenza virus membrane protein (58-66)
UMLS:C0387401	aflatoxin-albumin adduct	MESH	C098408	aflatoxin-albumin adduct
UMLS:C0109013	centromere protein E	MESH	C068688	centromere protein E
UMLS:C0002864	Androstenols	MESH	D000737	Androstenols
UMLS:C0672802	SCEL	MESH	C111281	SCEL protein, human
UMLS:C1826741	PVRIG	MESH	C000609742	PVRIG protein, human
UMLS:C0699515	Natacyn	RXCUI	202743	
UMLS:C1447897	FAIM	MESH	C421307	FAIM protein, human
UMLS:C0295664	4-hydroxymethylphenylalanine	MESH	C092680	4-hydroxymethylphenylalanine
UMLS:C4307263	nalbuphine Injection	RXCUI	1866542	
UMLS:C1420593	TBC1D1	MESH	C526441	TBC1D1 protein, human
