input_curie	preferred_identifier	preferred_label	confidence	method	evidence
SNOMEDCT:393109002	UMLS:C1273412	Chinese herbal medicine	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:395114000	UMLS:C1273412	Chinese herbal medicine	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:394059002	UMLS:C1273536	Acu-reflexology	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:393108005	UMLS:C1273536	Acu-reflexology	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:394874004	UMLS:C1273536	Acu-reflexology	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:367062002	UMLS:C1276354	Laying on of hands with prayer	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:367289002	UMLS:C1276354	Laying on of hands with prayer	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:134387000	UMLS:C1276354	Laying on of hands with prayer	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MESH:D000076107	UMLS:C1319849		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
SNOMEDCT:407667003	UMLS:C1319849		0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:765024005	UMLS:C1319849		0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:404938005	UMLS:C1321058	Craniosacral therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MTH:NOCODE	UMLS:C1321058	Craniosacral therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
MESH:D000077252	UMLS:C1321145		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
SNOMEDCT:405780009	UMLS:C1321145		0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
SNOMEDCT:289123006	UMLS:C1328799	Deep breathing	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
LOINC:LA33514-3	UMLS:C1328799	Deep breathing	0.9	umls_mrconso_cui_crosswalk	MRCONSO:LNC
SNOMEDCT:63782006	UMLS:C1328799	Deep breathing	0.9	umls_mrconso_cui_crosswalk	MRCONSO:SNOMEDCT_US
MTH:NOCODE	UMLS:C1328799	Deep breathing	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
MESH:D019587	UMLS:C1504473		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
NCIT:C93221	UMLS:C1504473		0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
NCIT:C16207	UMLS:C1511136	Electromagnetic-Based Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
NCIT:C15910	UMLS:C1511139	Biofield Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
NCIT:C15436	UMLS:C1513305		0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MESH:D026441	UMLS:C1513305		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
NCIT:C15761	UMLS:C1515885	Acustimulation Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
NCIT:C16206	UMLS:C1516875	Energy Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MESH:D019587	UMLS:C1518478		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
NCIT:C1954	UMLS:C1518478		0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MESH:D006990	UMLS:C1527400		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MTH:NOCODE	UMLS:C1527400		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
MTH:NOCODE	UMLS:C1533719	Herbal Medicine (discipline)	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
MESH:D029001	UMLS:C1533719	Herbal Medicine (discipline)	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
NCIT:C51974	UMLS:C1541277	Distance Healing	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
NCIT:C62679	UMLS:C1541283	Phytoestrogen Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MESH:D000076107	UMLS:C1564272		0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
MESH:D026241	UMLS:C1720840	Pilates-Based Exercises	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MSH
NCIT:C62678	UMLS:C1831689	Gonzalez Regimen	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
NCIT:C62680	UMLS:C1831723	Gerson Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
NCIT:C67027	UMLS:C1879712	Antineoplastons Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
NCIT:C67025	UMLS:C1879713	Antioxidant therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
NCIT:C67026	UMLS:C1880312	Dietary Macronutrients Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
NCIT:C67029	UMLS:C1881140	Immunoaugmentative Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
NCIT:C67341	UMLS:C1881345	LED Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
NCIT:C67034	UMLS:C1881509	Magnet Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MTH:NOCODE	UMLS:C1881509	Magnet Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
NCIT:C67035	UMLS:C1882505	Pulsed Electromagnetic Fields Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
NCIT:C67032	UMLS:C1883174	Stress Management Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:NCI
MTH:NOCODE	UMLS:C1883174	Stress Management Therapy	0.9	umls_mrconso_cui_crosswalk	MRCONSO:MTH
